Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
29.8936,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.236492
29.8936,6.58122,29.7836,2.93684,0.214084
29.8936,6.58122,29.7836,2.93684,0.235874
29.8936,6.58122,29.7836,2.93684,0.137296
29.8936,6.58122,29.7836,2.93684,0.178388
29.8936,6.58122,29.7836,2.93684,0.206438
29.8936,6.58122,29.7836,2.89316,0.273238
29.8936,6.58122,29.7836,2.86793,0.298969
29.8936,6.58122,29.7836,2.82096,0.28103
29.8936,6.58122,29.7836,2.79308,0.324803
29.8936,6.58122,29.7836,2.80971,0.292537
29.8936,6.58122,29.7836,2.79369,0.320648
29.9059,6.58122,29.7836,2.77398,0.269511
29.8585,6.58122,29.7836,2.73933,0.262715
29.8406,6.58122,29.7836,2.75491,0.258606
29.8204,6.58122,29.7836,2.73445,0.0419007
29.7807,6.58122,29.7836,2.68956,0.26994
29.7935,6.58122,29.7836,2.73787,0.303566
29.8005,6.58122,29.7836,2.65685,0.363212
29.7214,6.62043,29.7836,2.68562,0.195694
29.645,6.59578,29.7836,2.76664,0.27936
29.6432,6.60487,29.7836,2.71403,0.249237
29.7445,6.54354,29.7836,2.72478,0.214454
29.5916,6.49653,29.7265,2.70338,0.20875
29.6774,6.51442,6.59144,2.73471,0.345123
29.6015,6.46164,6.612,2.77006,0.317626
29.6909,6.5018,6.59815,2.70251,0.414489
29.7032,6.56993,6.58316,3.00755,0.0612209
29.5879,6.47687,6.59242,2.78714,0.265829
29.6941,6.43069,6.38977,2.45545,0.585224
29.7354,6.57057,6.41275,2.63831,0.445004
29.6453,6.56237,6.34082,2.53229,0.262361
29.5698,6.57777,6.41377,3.02559,0.427481
29.7228,6.47768,6.31882,2.6404,0.610615
29.522,6.47485,6.51379,2.62569,0.640787
29.7333,6.41478,6.43256,2.53212,0.609117
29.7142,6.59754,6.45991,2.51404,0.474913
29.6929,6.72391,6.40003,2.80764,0.465544
29.6791,6.55135,6.40541,2.87456,0.285806
29.6312,6.44019,6.34566,2.74394,0.443208
29.6512,6.7581,6.42315,2.88762,0.313919
29.4464,6.74078,6.34696,2.58586,0.304748
29.3773,6.65533,6.28563,2.56978,0.0672007
29.459,6.36294,6.59674,2.66481,0.198028
29.453,6.52591,6.63267,2.73716,0.473943
29.2564,6.82786,6.41744,2.72369,0.16597
29.3705,6.66208,6.24585,2.82575,0.447905
29.5518,6.51032,6.36123,3.09439,0.31234
29.459,6.54359,6.38705,2.91022,0.333848
29.5623,6.22524,6.70509,2.79326,0.346866
29.6151,6.39371,6.53585,2.89806,0.420857
29.4777,6.59513,6.33206,2.68295,0.180387
29.5207,6.42114,6.39821,2.55649,0.187298
29.5095,6.63125,6.35121,2.51391,0.0546961
29.5051,6.48352,6.21716,2.56639,0.476134
29.4816,6.60049,6.41385,2.65168,0.0375755
29.4584,6.65324,6.29391,2.66781,0.153268
29.4478,6.41045,6.30824,2.62518,0.490573
29.4618,6.38958,6.8355,3.18314,0.36471
29.4695,6.61661,6.27196,2.56918,0.53217
29.4473,6.60306,6.50165,3.03915,0.165817
29.5291,6.63114,6.29668,2.70996,0.495927
29.4871,6.61202,6.51134,2.808,0.608261
29.5014,6.41897,6.43806,2.54858,0.719664
29.4543,6.48964,6.30779,3.15278,0.276582
29.5367,6.49558,6.28984,2.64362,0.900592
29.4378,6.43436,6.31307,2.74889,0.0853056
29.4441,6.5008,6.18903,2.88742,0.589711
29.4196,6.36285,6.39987,2.89786,0.683457
29.3678,6.47978,6.62553,2.57959,0.345818
